sid,metal,n_electrons,solvent
4327183,Ag,344,['ClC(Cl)Cl']
1520554,Co,416,['c1ccccc1']
1567159,Co,450,[]
1507269,Co,558,['C(#N)C']
4103382,Mn,468,[]
4515932,Pt,446,[]
7214135,Co,504,[]
4114907,Co,714,['c1ccccc1']
4513497,Cu,404,['ClC(Cl)Cl']
7710982,Au,546,[]
7037476,Fe,706,"['c1ccccc1', 'C(CCCCC)C']"
4321107,Fe,436,['c1ccccc1']
7124121,Co,576,['C(CCC)CC']
4103378,Mn,738,[]
4084537,Sn,436,['C(Cl)Cl']
7243790,Au,390,[]
4107919,Ir,810,['C(Cl)Cl']
7031337,Sn,412,[]
7100412,Rh,538,['C(CCCC)C']
7060416,Co,532,[]
4103379,Mn,522,[]
4515971,Cu,754,['c1(c(cccc1)Cl)Cl']
4331976,Fe,338,['c1ccccc1']
4513498,Cu,422,['ClCCl']
4339319,Ag,422,[]
7227530,Co,536,[]
7108513,Ti,434,[]
7109049,La,494,['O(C)CCOC']
4084536,Sn,368,"['CCCCCC', '[O]']"
4338050,Fe,364,[]
7036482,Ir,506,['[O]']
7120023,Co,590,['ClCCl']
7112064,Ti,376,[]
7060415,Co,532,[]
4349427,Ru,420,[]
7049490,Co,568,['C(CC)CCC']
4324827,Co,414,[]
4111293,Mn,466,['O(CC)C(=O)C']
7031338,Sn,376,[]
4302942,Cu,318,[]
7041455,Ta,444,['Cc1ccccc1']
4327184,Au,376,[]
7049489,Co,632,['C(Cl)Cl']
4339998,Sn,452,['C(CC)CC']
7243791,Re,408,['CCCCCC']
7031339,Sn,398,[]
7132377,Zn,372,[]
4349426,Ru,324,[]
4103377,Mn,466,[]
7112063,Ti,408,[]
4321108,Rh,576,[]
7041454,Ta,450,['c1c(cccc1)C']
7036483,Ir,586,['ClCCl']
7124122,Fe,452,[]
7154523,Cu,504,"['ClC(Cl)Cl', '[C]']"
7240855,Mn,420,['OCC']
1548426,Co,680,['ClC(Cl)Cl']
7043621,Cu,406,[]
7120022,Co,598,[]
