,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,metal,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity,id
0,5,1.9673545065727747,2.2216375298454962,3.95,Rh,3.6,0.009765671269088824,0.27652853111217357,0.1693106685253858,0.40440043604364784,4321108
1,6,1.8837426191517914,1.9852740756523242,3.6,Co,3.6,0.049785566729962774,0.003475021588458761,0.11074918336758956,0.08896583255126492,1520554.c
2,6,1.886166756432636,1.993235494457397,3.6,Co,3.6,0.026658248343648747,0.0024323551507852976,0.09947387730472355,0.2916575242464121,7049489.c
3,6,1.9643972257708229,2.185398146484637,3.6,Ir,3.6,0.010897885297808154,0.0060893507478535286,0.11656736007263058,0.19014993323822618,4107918.c
4,6,1.8894649066891085,2.0035147478766016,3.6,Co,3.6,0.004854742496575874,0.001296669853669936,0.0630133941382308,0.062423454120237226,7049490
5,6,1.88748308367208,2.0009773981606873,3.6,Co,3.6,0.003013400711159628,0.0011950917146185945,0.1075921917021135,0.17674546146555473,7227530
6,5,1.9107925895508138,2.1717194482241484,3.5999999999999996,Mn,3.65,0.005049861585538582,0.21612541593949636,0.043563137224438726,0.19591067672456464,4111293.c
7,5,1.9332428458325674,2.6626134704767046,4.15,Mn,3.65,0.014700048545462096,0.379744107986431,0.06923511941662756,0.1374981588948857,7101887
8,4,1.9089609404176915,,,Cu,3.6,0.01300241036258787,0.044196102680798335,0.09465470734600172,0.20262723028953494,7015811
9,6,1.968353740262535,2.076590484288751,3.6,Ir,3.6,0.002821603087887005,0.0012385995213864565,0.10817951970225557,0.17544959113354924,7036482
10,5,1.8718501006789399,2.1967068566276655,3.95,Co,3.6,0.022146521978952696,0.2807422053017213,0.12164035682993381,0.22763914707373312,1567159.c
11,6,1.9643972257708229,2.185398146484637,3.6,Ir,3.6,0.010897885297808154,0.0060893507478535286,0.11656736007263058,0.19014993323822618,4107918
12,5,1.9291834548144544,2.1533552223553363,3.5999999999999996,Mn,3.65,0.007495440255419039,0.22143819916182253,0.024442468312321098,0.11214579401398103,4103378
13,6,1.8837426191517914,1.9852740756523242,3.6,Co,3.6,0.049785566729962774,0.003475021588458761,0.11074918336758956,0.08896583255126492,1520554
14,4,2.318706334577411,,,Tb,3.97,0.008599483680063476,1.2727322429748156,0.34281361581886904,0.702950506077682,7109051.c
15,4,1.8509313455945022,,,Ni,3.6,0.0061606926373496025,0.009719136485935129,0.07813872168549914,0.07702616102358395,4021631.c
16,5,1.9279150856282392,1.642952744796088,3.65,Fe,3.65,0.0118678430713484,0.4134663940372312,0.11632125626577117,0.10166827213631437,7037476.c
17,4,1.850931311271096,,,Ni,3.6,0.006160682616696491,0.009719997613001527,0.07813872778918671,0.0770261257088552,7102612.c
18,5,1.9009460760694794,2.2378735098648894,3.8499999999999996,Fe,3.65,0.0017727456829558044,0.3670142416482161,0.17199527382196286,0.18751982099045672,4321107
19,6,1.88748308367208,2.0009773981606873,3.6,Co,3.6,0.003013400711159628,0.0011950917146185945,0.1075921917021135,0.17674546146555473,7227530.c
20,4,1.9222165056245453,,,Mn,3.65,0.008762742729972177,0.2860376443459412,0.17771488027841406,0.30369887031799214,7240855
21,6,1.9609935378379924,2.125629572826324,3.75,Pt,3.65,0.004549160681245227,0.0002855443188521257,0.0558042079423613,0.11811225495430508,7115636.c
22,4,2.0388942724672257,,,Sn,3.85,0.009595058078073763,0.6114331557142874,0.14313431096905413,0.4358168869862531,7031337
23,5,1.8718501006789399,2.1967068566276655,3.95,Co,3.6,0.022146521978952696,0.2807422053017213,0.12164035682993381,0.22763914707373312,1567159
24,5,2.2212278077582592,2.6100282217250066,3.9699999999999998,Lu,3.87,0.010688653528815081,1.0871052286196472,0.18970383383079661,0.601133851089989,7041070
25,5,2.0653297395252093,1.7784115361751904,3.8000000000000003,Ta,3.8000000000000003,0.0036556915578444243,0.7750914569742061,0.12161127327950359,0.3319220105564443,7041454
26,5,1.9090718590583722,2.1991208131707998,3.5999999999999996,Mn,3.65,0.0027138630411830712,0.23943659487877714,0.04477487617891061,0.11697972725519652,4103379
