sid,metal,n_electrons,solvent
4339261,Zn,874,['CC#N']
4067836,Rh,548,[]
7023553,Zn,782,['O1CCCC1']
4314949,Fe,490,['O1CCCC1']
4083628,Ir,556,[]
7112809,Sn,560,[]
2013229,Ru,590,[]
8000085,Re,446,[]
4322302,Fe,462,[]
7022103,Zn,582,['O1CCCC1']
4323617,Ru,370,['C(Cl)Cl']
4341726,Zn,458,['[O][O]']
4322358,Rh,604,[]
4348563,Fe,882,[]
4022185,Zn,622,"['O1CCCC1', 'ClCCl']"
4075886,Ru,526,[]
1513466,Zn,624,['c1(ccccc1)C']
1551471,Zn,316,[]
7220454,Zn,518,"['C(C)(C)O', 'C1OCCOC1']"
2005277,Zn,382,[]
4322642,Zn,398,['c1cccc(c1)OC']
4063565,Ir,496,['OC']
1556870,Os,576,[]
4309869,Zn,926,['O1CCCC1']
2208603,Zn,454,['c1c(cccc1)N(=O)=O']
7224315,Zn,382,[]
7247163,Sn,784,[]
1516044,Zn,714,"['c1c(cccc1)C', 'OC(C)C']"
4109436,Zn,600,"['CO', 'C(CCl)Cl']"
7701576,Pt,450,['ClC(Cl)Cl']
7037225,Ir,504,[]
2018539,Ni,348,[]
7101480,Ni,316,[]
4126289,Fe,418,['c1ccccc1']
7112121,Rh,426,['C(Cl)Cl']
4038858,Zn,688,['C(Cl)(Cl)Cl']
7042957,Ni,436,['O=C(OCC)C']
2227441,Ni,604,[]
4315229,Cu,446,[]
4336512,Pd,548,[]
7218833,Zn,510,[]
7224159,Zn,542,[]
7057245,Zn,520,[]
7112120,Rh,434,[]
4314193,Fe,416,['C(Cl)(Cl)Cl']
7025050,Fe,510,[]
4129874,Ni,508,"['OC', '[CH2]']"
4117088,Zn,720,['ClCCl']
2001288,Ni,780,['C(Cl)Cl']
4345735,Fe,754,['C(C)OCC']
7710183,Zn,430,[]
2208334,Zn,414,[]
4116362,Ru,390,['ClCCl']
4105082,Zn,812,['O1CCOCC1']
4086593,Co,418,[]
4322303,Fe,478,[]
4322639,Co,330,[]
7108943,Ni,386,['O1CCCC1']
4107513,Fe,390,['c1([nH]ccn1)C']
2013262,Fe,458,[]
7111790,Os,610,[]
7208118,Fe,454,[]
4331566,Mn,362,['ClC(Cl)Cl']
4335943,Pd,366,[]
1503510,Ni,308,[]
4322782,Si,416,[]
7223226,Ni,386,[]
4350205,Fe,358,['c1ccccc1C']
4313887,Zn,430,['CO']
4304892,Fe,662,['c1(C)ccccc1']
4067835,Rh,484,[]
4127591,Ru,594,[]
4074296,Rh,516,[]
7121561,Ni,340,[]
2229724,Zn,398,[]
1507880,Mn,450,['c1(ccccc1)C']
4078822,Rh,454,['ClCCl']
2006429,Ni,480,['[O][C]']
4320457,Hg,448,[]
2203577,Zn,392,['O=S(C)C']
1560499,Ni,448,['ClC(Cl)Cl']
1506812,Ni,476,['ClCCl']
4317821,Ho,454,[]
7013355,Zn,318,['c1cc([C](C#N)C#N)ccc1[C](C#N)C#N']
1506810,Ni,476,['c1([nH]ccn1)C']
4309131,Co,378,[]
7100291,Zn,386,['CCCCCC']
1516045,Zn,720,['O1[C][C][C][C]1']
7040691,Zn,392,[]
4066807,Ni,620,['c1c(cccc1)Cl']
7101481,Ni,316,[]
4083904,Rh,390,[]
4332606,Ru,688,[]
7045053,Ni,520,"['CCOCC', 'c1cccnc1']"
4322359,Rh,518,[]
4069330,Zn,558,['CO']
4115599,Ru,396,[]
4308791,Ru,380,[]
4346514,Ru,604,[]
7022268,Zn,568,['OC']
4322645,Zn,398,['COc1ccccc1']
7101300,Al,422,['C(C)O']
7029612,Zn,566,[]
7011680,Zn,452,['CO']
4083905,Rh,398,['ClC(Cl)(Cl)Cl']
7107598,Ir,720,"['OC', 'C(Cl)Cl']"
4132809,Ti,350,[]
4032497,Ni,360,[]
4323740,Ni,392,[]
1549368,Co,474,['c1ccccc1']
4516286,Zn,584,[]
7027060,Ni,426,['C(Cl)(Cl)Cl']
7108133,Zn,398,[]
2239043,Fe,454,[]
7038120,Zn,538,[]
7707446,Rh,586,[]
1556871,Fe,622,[]
7126171,Ru,518,['c1ccccc1']
4030369,Ni,348,[]
4067837,Rh,420,[]
7103688,Os,558,[]
4323747,Zn,426,[]
2021487,Mn,404,['c1cnccc1']
4318631,Ru,744,[]
4060552,Rh,518,[]
7045057,Ni,600,"['S(=O)(C)C', 'CC(=O)C']"
4340787,Co,528,[]
4132331,Zn,486,['C(=O)(C)C']
2203899,Mn,432,['O']
2011833,Zn,346,[]
2235990,Co,406,[]
4106211,Ni,348,[]
7218169,Pd,430,[]
4305490,Fe,622,[]
2001529,Zn,834,"['[C](Cl)[C]Cl.ClCl.[Cl].ClCl.[Cl]', '[C]#[C].[C]1[C][C][C]1.ClCl.[C].[C].[C]#[C].Cl[C].[C]Cl']"
4115598,Ru,396,[]
2205785,Fe,458,[]
1556869,Ru,488,['OC']
7231910,Zn,398,[]
4314004,Zn,766,['ClC(Cl)Cl']
7029526,Pt,590,['OCC']
4311126,Pt,622,[]
4341728,Ni,574,[]
2229055,Ni,332,[]
4348562,Fe,866,[]
7713179,Fe,706,[]
2231371,Pt,406,[]
4320534,Fe,410,['c1ccccc1C']
7034891,Ni,480,[]
1555361,Ru,462,['O1CCOCC1']
7236605,Ni,690,[]
4319666,Rh,626,[]
4078251,Ir,480,['ClCCl']
7107530,Pb,788,[]
4116885,Zn,736,['S(=O)(C)C']
1551475,Zn,582,[]
7203541,Ru,508,['n1ccccc1']
7117411,Zn,446,[]
1551472,Zn,542,[]
4333198,Al,472,[]
7240787,Sn,512,[]
4116365,Fe,444,[]
8106545,Zn,468,['n1ccccc1']
4063564,Ir,504,[]
7005395,Zn,608,['C(Cl)(Cl)Cl']
4308723,Ni,316,[]
4311642,Ru,536,['O(CC)CC']
4308893,Ru,468,[]
2015657,Zn,382,['c1cc(N(=O)=O)ccc1']
4330777,Fe,722,[]
4086499,Rh,452,[]
4067838,Rh,436,[]
7701575,Pd,374,['ClCCl']
4120155,Zn,478,['CC(=O)C']
7103064,Zn,548,['N(C=O)(C)C']
7106671,Rh,488,['OC']
7055583,Zn,382,[]
4336511,Pd,526,['c1(ccccc1)C']
2021488,Mn,362,"['c1(ccccc1)C', '[N@]12CC[N@](CC1)CC2']"
4323738,Zn,456,[]
4116369,Co,330,[]
1546349,Ni,508,[]
2013828,Fe,506,['c1ccccc1']
2219397,Ru,444,[]
2239640,Ni,284,[]
7701574,Pd,418,['ClC(Cl)Cl']
2005276,Zn,382,[]
2241720,Zn,646,[]
2203969,Zn,692,['N#CC']
7050352,Zn,534,[]
4022338,Ni,716,[]
4025259,Zn,896,"['ClC(Cl)Cl', 'c1ccc(C)cc1']"
4086594,Co,450,[]
4083629,Ir,492,['c1(ccccc1)C']
4333379,Fe,458,[]
2209973,Fe,566,['c1ccccc1']
4083625,Ir,484,['c1(ccccc1)C']
4116368,Fe,414,[]
4115597,Fe,378,[]
4132329,Zn,414,[]
2200577,Zn,552,['ClC(Cl)Cl']
2013414,Ru,548,[]
7017014,Zn,558,[]
1568082,Mo,466,[]
7108058,Zn,352,[]
4323744,Ni,444,[]
4322203,Zr,542,[]
4074166,Rh,566,[]
4346775,Ni,892,['CCCCCC']
4123222,Ni,444,['Clc1ccccc1']
4302042,Zn,616,['C(CCl)Cl']
7023552,Zn,702,[]
7104049,Ni,452,['ClCCl']
4346515,Ru,580,[]
4067794,Ru,460,['C(Cl)Cl']
4336510,Pd,454,[]
7027484,Y,482,[]
2010438,Zr,422,['ClCl.ClCl.[C]']
4319661,Rh,584,['N#CC']
4322117,Zn,358,[]
4067031,Rh,474,[]
2240396,Mn,362,['c1cc(N)ncc1']
4127588,Ru,702,['CCCCCC']
2208647,Zn,414,[]
2234927,Ni,572,[]
7015694,Sn,428,[]
4083630,Ir,500,['c1(ccccc1)C']
7103614,Sn,724,['ClC(Cl)Cl']
7008885,Ni,444,[]
7124558,Rh,426,['C(Cl)Cl']
7240788,Sn,576,[]
7030771,Co,436,[]
1506605,Zn,414,[]
4071802,Rh,436,['C(C)O']
4116363,Os,422,['ClCCl']
7157771,Zn,454,[]
4085021,Ir,486,[]
2236590,Ni,252,[]
1506811,Ni,492,['CN1[C]=[C][C]=[C]1']
7226004,Zn,864,[]
4126290,Fe,594,['c1ccccc1']
7223136,Mn,354,[]
1501669,Sn,788,['ClC(Cl)Cl']
7240786,Sn,512,[]
7037223,Ir,494,[]
7003904,Zn,608,['ClCCl']
4317157,Fe,462,['c1cccc(c1)C']
4322648,Zn,398,"['ClC(Cl)Cl', 'c1ccccc1']"
2019734,Pd,370,[]
7050226,Mn,452,"['O=S(C)C', 'N(=O)(=O)c1ccccc1']"
1552365,Pd,486,[]
7126172,Ru,596,[]
7050351,Zn,590,[]
7032602,Ni,324,[]
2013228,Ru,554,['c1ccncc1']
2241451,Zn,652,['n1ccc(cc1)C#N']
4028655,Zn,394,"['n1ccccc1', 'ClC(Cl)Cl']"
7218168,Ni,412,['C(CC)CCC']
4336562,Fe,530,"['[C]1=[C][C]=[C][C]=[C]1', 'c1ccccc1']"
4504095,Zn,410,['c1c(N(=O)=O)cccc1']
4029666,Ni,344,[]
4322641,Zn,398,[]
2012937,Pt,532,['N#CC']
4321733,Fe,584,[]
1506848,Rh,424,['ClC(Cl)Cl']
7037226,Ir,468,['ClCCl']
