,sid,structure_type,coordination_number,n_beta_hydrogens,n_meso_hydrogens,metal_radius,metal_charge,total_non_planarity
0,1503509,porphyrin,4,8,1,2.0,2.0,0.4247727466343152
1,1503510,porphyrin,4,8,0,2.0,2.0,1.4441699776225774
2,1506605,porphyrin,4,8,0,2.1,2.0,0.4271137259589855
3,1506810,porphyrin,6,0,0,2.0,2.0,1.950397907446785
4,1506811,porphyrin,6,0,0,2.0,2.0,2.3660338895584956
5,1506812,porphyrin,6,0,0,2.0,2.0,2.3807678073659972
6,1506848,porphyrin,6,8,0,2.0,3.0,0.789162618948314
7,1507269,corrole,5,8,0,2.0,3.0,0.3563508456298866
8,1507281,porphyrin,4,8,0,2.05,2.0,0.04893925937617246
9,1507727,porphyrin,4,6,0,2.0,2.0,2.0680283171317013
10,1520554,corrole,6,8,0,2.0,3.0,0.33744650933715165
11,1546349,porphyrin,4,8,0,2.0,2.0,1.772222027654219
12,1548426,corrole,6,0,0,2.0,3.0,0.8494090322050089
13,1549368,porphyrin,5,8,0,2.0,3.0,0.6997084898057607
14,1551471,porphyrin,4,8,0,2.1,2.0,1.8354049251512874
15,1552365,porphyrin,4,8,0,2.05,2.0,0.25465331289401183
16,1555361,porphyrin,6,8,0,2.05,4.0,0.1527935754896682
17,1556870,porphyrin,6,8,0,2.0,2.0,0.13833346592574355
18,1556871,porphyrin,6,8,0,2.05,2.0,0.30009272247189656
19,1556872,porphyrin,5,8,0,2.05,2.0,1.5539667583728216
20,1560499,porphyrin,4,8,0,2.0,2.0,1.6158316999358922
21,1567159,corrole,5,8,0,2.0,3.0,0.5592352001579325
22,1568082,porphyrin,5,8,0,2.1,4.0,0.4435638483292247
23,2001288,porphyrin,4,0,0,2.0,2.0,3.6635567884001428
24,2001529,porphyrin,5,0,0,2.1,2.0,2.680246270171901
25,2003488,porphyrin,5,8,0,2.0,3.0,1.0549644406697285
26,2005276,porphyrin,4,8,0,2.1,2.0,0.1172000125446238
27,2005277,porphyrin,4,8,0,2.1,2.0,0.16499415540212115
28,2006429,porphyrin,6,4,0,2.0,2.0,0.33388962156110424
29,2010438,porphyrin,6,8,0,2.3,4.0,1.1173510931216193
30,2011222,porphyrin,6,8,0,2.05,2.0,0.3074244068704276
31,2011833,porphyrin,4,8,0,2.1,2.0,0.32438921751589533
32,2012937,porphyrin,6,8,0,2.05,4.0,0.11072080408753657
33,2013228,porphyrin,6,8,0,2.05,2.0,0.6498529357769133
34,2013229,porphyrin,6,8,0,2.05,2.0,0.33731778034896165
35,2013262,porphyrin,6,8,0,2.05,2.0,0.18296996006371521
36,2013414,porphyrin,5,8,0,2.05,2.0,0.2929843047802514
37,2013828,porphyrin,4,8,0,2.05,2.0,0.14293986371784423
38,2015245,porphyrin,5,8,0,2.1,2.0,0.4803959899082332
39,2016069,porphyrin,4,8,0,2.1,2.0,0.17729553262383438
40,2018539,porphyrin,4,8,0,2.0,2.0,1.5157326299323743
41,2019734,porphyrin,4,8,0,2.05,2.0,0.7365162766378784
42,2021487,porphyrin,6,8,0,2.05,3.0,1.238383213595023
43,2021488,porphyrin,5,8,0,2.05,3.0,0.10262609957843395
44,2202428,porphyrin,4,8,0,2.1,2.0,1.3859319340050191
