sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
4339261,Zn,874,['CC#N'],4,2.0560850745769206,,,3.7,2.2952219627903277e-16,4.864046543661621e-17,0.07497388793571336,0.1586266591261899
4067836,Rh,548,[],5,2.0249683573360198,1.9751446337233127,3.7,3.6,0.05682102841966792,0.08519918414977291,0.1129669425656141,0.3267641896607931
7023553,Zn,782,['O1CCCC1'],4,2.054342250107843,,,3.7,0.0319881038411155,0.036957978587191534,0.249551544115527,1.093626428222087
4314949,Fe,490,['O1CCCC1'],6,1.9852204175987263,2.0005411078086244,3.65,3.65,0.09454067765330337,0.010278005044163714,0.21337646414889716,0.8318673640441852
4083628,Ir,556,[],5,2.034404005715298,2.003810597534108,3.7,3.6,0.0050690429773228365,0.06274279091892579,0.05184251200455382,0.04547411780321095
7112809,Sn,560,[],4,2.1317161590604417,,,3.85,1.1202912105996302e-16,3.734304035332101e-17,0.19723258745486585,0.28679171065227715
2013229,Ru,590,[],6,2.0506163063230876,2.090603107315663,3.7,3.65,0.01455982082378386,0.09765770002889405,0.0855821136168781,0.10444306642127332
8000085,Re,446,[],6,2.289016763467895,1.8981413367297117,3.75,3.65,0.10568818459276992,1.3453662340866377,0.9378492680781854,0.7291212522243935
4322302,Fe,462,[],6,1.9916686162348298,2.043290024061542,3.65,3.65,0.007438627984558353,0.003457801710439189,0.12733557879522867,0.08663440352467461
7022103,Zn,582,['O1CCCC1'],4,2.043006602984228,,,3.7,2.3438158892728035e-16,3.7647949929926366e-17,0.010392220132485681,0.16533510999844614
4323617,Ru,370,['C(Cl)Cl'],6,2.059987834957215,1.8715562557713405,3.625,3.65,0.00875000740650832,0.11854698323276508,0.029707180199297648,0.06437508731568653
4341726,Zn,458,['[O][O]'],4,2.065012450068017,,,3.7,0.019700499166135622,0.22130120793209804,0.06412444918050123,0.15693741799556704
4322358,Rh,604,[],6,2.047887747574452,2.3845971178496628,3.8499999999999996,3.6,0.0294628059372962,0.0022124587930314964,0.08142537786464513,0.19990867012416222
