,sid,structure_type,coordination_number,central_metal,metal_charge,number_of_atoms,molar_mass
0,1503509,porphyrin,4,Ni,2.0,40,560.23356
1,1503510,porphyrin,4,Ni,2.0,43,601.2457200000002
2,1506605,porphyrin,4,Zn,2.0,59,802.2386800000003
3,1506810,porphyrin,6,Ni,2.0,63,907.5995200000007
4,1506811,porphyrin,6,Ni,2.0,65,935.6526800000007
5,1506812,porphyrin,6,Ni,2.0,63,907.5995200000008
6,1506848,porphyrin,6,Rh,3.0,56,830.1783200000001
7,1507269,corrole,5,Co,3.0,76,1114.6809290000006
8,1507281,porphyrin,4,Pd,2.0,69,1078.9491840000003
9,1507727,porphyrin,4,Ni,2.0,87,1186.2406800000008
10,1520554,corrole,6,Co,3.0,58,814.6762928000002
11,1546349,porphyrin,4,Ni,2.0,69,1031.222584
12,1548426,corrole,6,Co,3.0,65,1413.9865399999999
13,1549368,porphyrin,5,Co,3.0,66,912.8886832000006
14,1551471,porphyrin,4,Zn,2.0,43,613.9733600000001
15,1552365,porphyrin,4,Pd,2.0,65,951.2842400000006
16,1555361,porphyrin,6,Ru,4.0,59,896.9085600000004
17,1556870,porphyrin,6,Os,2.0,73,1143.3480928000001
18,1556871,porphyrin,6,Fe,2.0,85,1241.6922440000008
19,1556872,porphyrin,5,Fe,2.0,63,858.8894000000004
20,1560499,porphyrin,4,Ni,2.0,63,857.6662800000006
21,1567159,corrole,5,Co,3.0,63,869.8334410000003
22,1568082,porphyrin,5,Mo,4.0,62,892.9982800000009
23,2001288,porphyrin,4,Ni,2.0,77,1662.3910640000006
24,2001529,porphyrin,5,Zn,2.0,85,1773.1406640000005
25,2003488,porphyrin,5,Rh,3.0,53,940.68542
26,2005276,porphyrin,4,Zn,2.0,53,734.2062400000002
27,2005277,porphyrin,4,Zn,2.0,53,734.2062400000002
28,2006429,porphyrin,6,Ni,2.0,69,929.6509600000003
29,2010438,porphyrin,6,Zr,4.0,57,822.0319600000001
30,2011222,porphyrin,6,Ru,2.0,141,2017.2732399999995
31,2011833,porphyrin,4,Zn,2.0,45,690.1155200000001
32,2012937,porphyrin,6,Pt,4.0,59,1087.709840000001
33,2013228,porphyrin,6,Ru,2.0,76,1071.2348400000008
34,2013229,porphyrin,6,Ru,2.0,80,1151.2105792000007
35,2013262,porphyrin,6,Fe,2.0,63,866.9131600000006
36,2013414,porphyrin,5,Ru,2.0,74,1072.1106792000007
37,2013828,porphyrin,4,Fe,2.0,69,1028.3741840000002
38,2015245,porphyrin,5,Zn,2.0,71,989.3441400000006
39,2016069,porphyrin,4,Zn,2.0,53,1181.6860400000003
40,2018539,porphyrin,4,Ni,2.0,49,671.41332
41,2019734,porphyrin,4,Pd,2.0,41,752.79328
42,2021487,porphyrin,6,Mn,3.0,56,782.2108690000001
43,2021488,porphyrin,5,Mn,3.0,50,703.1109690000001
44,2202428,porphyrin,4,Zn,2.0,53,815.88016
45,2203019,porphyrin,4,Ni,2.0,65,911.9656400000013
46,2203577,porphyrin,5,Zn,2.0,53,756.2333600000002
47,2203969,porphyrin,5,Zn,2.0,100,1327.9195200000004
48,2207819,porphyrin,5,Zn,2.0,54,751.1937000000003
49,2208334,porphyrin,5,Zn,2.0,58,799.2365000000003
50,2208603,porphyrin,5,Zn,2.0,65,883.2749400000005
51,2208647,porphyrin,4,Zn,2.0,53,815.88016
52,2209973,porphyrin,6,Fe,2.0,65,1142.34896
53,2210417,porphyrin,5,Zn,2.0,55,765.2202800000003
54,2216087,porphyrin,4,Ni,2.0,65,911.6211600000006
55,2219397,porphyrin,5,Ru,2.0,60,871.9104296000002
56,2226609,porphyrin,4,Ni,2.0,65,887.7750800000006
57,2227441,porphyrin,4,Ni,2.0,81,1128.155160000001
58,2229055,porphyrin,4,Ni,2.0,46,639.3699200000001
